Utterance	Intents
how old are you	l_l_BasicBotLuisApplication, q_CinemaSampleKB
are you old	l_l_BasicBotLuisApplication, q_CinemaSampleKB
good evening	l_l_BasicBotLuisApplication, q_CinemaSampleKB
hi	l_l_BasicBotLuisApplication, q_CinemaSampleKB
hiya	l_l_BasicBotLuisApplication, q_CinemaSampleKB
what's your age	l_l_BasicBotLuisApplication, q_CinemaSampleKB
what can you do	l_l_BasicBotLuisApplication, q_CinemaSampleKB
cook me something	l_l_BasicBotLuisApplication, q_CinemaSampleKB
do you play games	l_l_BasicBotLuisApplication, q_CinemaSampleKB
getting tired of you	l_l_BasicBotLuisApplication, q_CinemaSampleKB
how are you today	l_l_BasicBotLuisApplication, q_CinemaSampleKB
