Label	Weight	Text
l_MovieBot2-82b0	5.225806	how do i interact with you
l_MovieBot2-82b0	5.225806	help
l_MovieBot2-82b0	5.225806	new releases
l_MovieBot2-82b0	5.225806	cook me something
l_MovieBot2-82b0	5.225806	i will not give you my name
l_MovieBot2-82b0	5.225806	i don't understand
l_MovieBot2-82b0	5.225806	purchase movie tickets
l_MovieBot2-82b0	5.225806	you can assume i live in cairo
l_MovieBot2-82b0	5.225806	book for me amc tickets
l_MovieBot2-82b0	5.225806	hello
l_MovieBot2-82b0	5.225806	i am tired of you
l_MovieBot2-82b0	5.225806	i'm lauren, and i'm from madrid
l_MovieBot2-82b0	5.225806	call me scott
l_MovieBot2-82b0	5.225806	delhi
l_MovieBot2-82b0	5.225806	confused
l_MovieBot2-82b0	5.225806	please cancel
l_MovieBot2-82b0	5.225806	my name is maria and i'm from sydney
l_MovieBot2-82b0	5.225806	watch trailers
l_MovieBot2-82b0	5.225806	what can you help me with
l_MovieBot2-82b0	5.225806	new movie
l_MovieBot2-82b0	5.225806	watch a trailer
l_MovieBot2-82b0	5.225806	popular movies
l_MovieBot2-82b0	5.225806	book tickets for captain america
l_MovieBot2-82b0	5.225806	i'm john from cairo
l_MovieBot2-82b0	5.225806	dhaka
l_MovieBot2-82b0	5.225806	hiya
l_MovieBot2-82b0	5.225806	gnocchi
l_MovieBot2-82b0	5.225806	do you play games
l_MovieBot2-82b0	5.225806	my name is tom
l_MovieBot2-82b0	5.225806	i reside in san francisco
l_MovieBot2-82b0	5.225806	can i see movies that are popular
l_MovieBot2-82b0	5.225806	no way
l_MovieBot2-82b0	5.225806	vishwac is my name
l_MovieBot2-82b0	5.225806	can you find movie tickets
l_MovieBot2-82b0	5.225806	seattle is my current city
l_MovieBot2-82b0	5.225806	book me a ticket for jurassic world
l_MovieBot2-82b0	5.225806	hi bot
l_MovieBot2-82b0	5.225806	help please
l_MovieBot2-82b0	5.225806	how are you today
l_MovieBot2-82b0	5.225806	i will not give you my location or name
l_MovieBot2-82b0	5.225806	i'm lost
l_MovieBot2-82b0	5.225806	i'm lili
l_MovieBot2-82b0	5.225806	who am i speaking to
l_MovieBot2-82b0	5.225806	lost
l_MovieBot2-82b0	5.225806	abort
l_MovieBot2-82b0	5.225806	getting tired of you
l_MovieBot2-82b0	5.225806	whats up
l_MovieBot2-82b0	5.225806	don't do that
l_MovieBot2-82b0	5.225806	show new releases
l_MovieBot2-82b0	5.225806	what movies are popular
l_MovieBot2-82b0	5.225806	book movie ticket near my location
l_MovieBot2-82b0	5.225806	why doesn't this work
l_MovieBot2-82b0	5.225806	yo
l_MovieBot2-82b0	5.225806	i'm bailing
l_MovieBot2-82b0	5.225806	quit
l_MovieBot2-82b0	5.225806	world wide pants
l_MovieBot2-82b0	5.225806	watch new movies
l_MovieBot2-82b0	5.225806	dont you ever sleep
l_MovieBot2-82b0	5.225806	how are you
